player_name,total_points,gws,cost,position,points_per_match,points_last_6,points_per_match_last_6,cost_per_point,cost_per_point_last_6,cost_point_index,cost_point_index_last_6
Craig_Cathcart,214.0,143.0,4,2,1.5,11.0,1.02,0.0187,0.3636,0.1974,0.2222
Craig_Dawson,226.0,105.0,4,2,2.15,2.0,1.0,0.0177,2.0,0.2829,0.0
Curtis_Jones,2.0,34.0,4,3,0.06,1.0,1.0,2.0,4.0,0.0079,1.0E-4
Cédric_Soares,282.0,143.0,4,2,1.97,1.0,1.0,0.0142,4.0,0.2592,1.0E-4
César_Azpilicueta,591.0,143.0,5,2,4.13,18.0,1.03,0.0085,0.2778,0.5434,0.3333
Dale_Stephens,200.0,105.0,4,3,1.9,4.0,1.01,0.02,1.0,0.25,0.1111
Daniel_Amartey,81.0,143.0,4,3,0.57,0.0,1.0,0.0494,0.0,0.075,0.0
Daniel_Castelo Podence,4.0,5.0,5,3,0.8,4.0,1.01,1.25,1.25,0.1053,0.1111
Daniel_Ceballos Fernández,35.0,28.0,5,3,1.25,8.0,1.01,0.1429,0.625,0.1645,0.1111
Daniel_Drinkwater,99.0,142.0,4,3,0.7,3.0,1.01,0.0404,1.3333,0.0921,0.1111
Daniel_James,89.0,58.0,5,3,1.53,14.0,1.02,0.0562,0.3571,0.2013,0.2222
Daniel_N'Lundulu,0.0,26.0,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Danilo Luiz_da Silva,146.0,104.0,5,2,1.4,0.0,1.0,0.0342,0.0,0.1842,0.0
Danny_Ings,248.0,143.0,7,4,1.73,15.0,1.03,0.0282,0.4667,0.2276,0.3333
Danny_Rose,225.0,143.0,5,2,1.57,14.0,1.02,0.0222,0.3571,0.2066,0.2222
Danny_Ward,22.0,141.0,4,1,0.16,0.0,1.0,0.1818,0.0,0.0211,0.0
Danny_Welbeck,137.0,143.0,5,4,0.96,4.0,1.01,0.0365,1.25,0.1263,0.1111
Dan_Burn,57.0,44.0,4,2,1.3,10.0,1.02,0.0702,0.4,0.1711,0.2222
Dan_Gosling,201.0,143.0,4,3,1.41,12.0,1.02,0.0199,0.3333,0.1855,0.2222
Darren_Randolph,72.0,84.0,4,1,0.86,0.0,1.0,0.0556,0.0,0.1132,0.0
Daryl_Janmaat,195.0,141.0,4,2,1.38,0.0,1.0,0.0205,0.0,0.1816,0.0
Davide_Zappacosta,67.0,102.0,4,2,0.66,0.0,1.0,0.0597,0.0,0.0868,0.0
David_Brooks,123.0,67.0,6,3,1.84,0.0,1.0,0.0488,0.0,0.2421,0.0
David_Button,15.0,67.0,3,1,0.22,0.0,1.0,0.2,0.0,0.029,0.0
David_de Gea,411.0,105.0,5,1,3.91,32.0,1.05,0.0122,0.1563,0.5145,0.5556
David_Luiz Moreira Marinho,407.0,139.0,5,2,2.93,25.0,1.04,0.0123,0.2,0.3855,0.4444
David_Martin,20.0,22.0,4,1,0.91,0.0,1.0,0.2,0.0,0.1197,0.0
David_McGoldrick,42.0,28.0,5,4,1.5,2.0,1.0,0.119,2.5,0.1974,0.0
David_Silva,532.0,142.0,7,3,3.75,5.0,1.01,0.0132,1.4,0.4934,0.1111
Davinson_Sánchez,224.0,103.0,5,2,2.17,14.0,1.02,0.0223,0.3571,0.2855,0.2222
Davy_Pröpper,223.0,105.0,4,3,2.12,17.0,1.03,0.0179,0.2353,0.2789,0.3333
DeAndre_Yedlin,174.0,143.0,4,2,1.22,0.0,1.0,0.023,0.0,0.1605,0.0
Dean_Henderson,122.0,28.0,5,1,4.36,35.0,1.06,0.041,0.1429,0.5737,0.6667
Declan_Rice,200.0,126.0,4,3,1.59,14.0,1.02,0.02,0.2857,0.2092,0.2222
Dejan_Lovren,296.0,143.0,5,2,2.07,1.0,1.0,0.0169,5.0,0.2724,1.0E-4
Demarai_Gray,246.0,143.0,5,3,1.72,0.0,1.0,0.0203,0.0,0.2263,0.0
Dennis_Praet,48.0,29.0,5,3,1.66,7.0,1.01,0.1042,0.7143,0.2184,0.1111
Dennis_Srbeny,13.0,29.0,5,4,0.45,0.0,1.0,0.3846,0.0,0.0592,0.0
Diego_Rico,69.0,67.0,4,2,1.03,8.0,1.01,0.058,0.5,0.1355,0.1111
Dimitri_Foulquier,1.0,25.0,4,2,0.04,0.0,1.0,4.0,0.0,0.0053,0.0
Diogo_Jota,227.0,67.0,6,4,3.39,35.0,1.06,0.0264,0.1714,0.4461,0.6667
Divock_Origi,181.0,135.0,5,4,1.34,7.0,1.01,0.0276,0.7143,0.1763,0.1111
Djibril_Sidibé,64.0,29.0,5,2,2.21,6.0,1.01,0.0781,0.8333,0.2908,0.1111
Domingos_Quina,21.0,118.0,4,3,0.18,0.0,1.0,0.1905,0.0,0.0237,0.0
Dominic_Calvert-Lewin,308.0,134.0,6,4,2.3,33.0,1.06,0.0195,0.1818,0.3026,0.6667
Dominic_Solanke,94.0,136.0,5,4,0.69,11.0,1.02,0.0532,0.4545,0.0908,0.2222
Douglas Luiz_Soares de Paulo,71.0,28.0,4,3,2.54,17.0,1.03,0.0563,0.2353,0.3342,0.3333
Dwight_Gayle,110.0,98.0,5,4,1.12,4.0,1.01,0.0455,1.25,0.1474,0.1111
Dwight_McNeil,175.0,65.0,6,3,2.69,29.0,1.05,0.0343,0.2069,0.3539,0.5556
Ederson_Santana de Moraes,409.0,104.0,6,1,3.93,23.0,1.04,0.0147,0.2609,0.5171,0.4444
Edward_Nketiah,25.0,84.0,4,4,0.3,12.0,1.02,0.16,0.3333,0.0395,0.2222
Eldin_Jakupovic,90.0,143.0,4,1,0.63,0.0,1.0,0.0444,0.0,0.0829,0.0
Emerson_Palmieri dos Santos,54.0,80.0,5,2,0.68,0.0,1.0,0.0926,0.0,0.0895,0.0
Emile_Smith Rowe,4.0,12.0,4,3,0.33,0.0,1.0,1.0,0.0,0.0434,0.0
Emiliano_Buendía,80.0,29.0,6,3,2.76,7.0,1.01,0.075,0.8571,0.3632,0.1111
Emiliano_Martínez,0.0,59.0,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Emil_Krafth,21.0,29.0,4,2,0.72,1.0,1.0,0.1905,4.0,0.0947,1.0E-4
Enda_Stevens,110.0,28.0,5,2,3.93,25.0,1.04,0.0455,0.2,0.5171,0.4444
Eric_Bailly,183.0,143.0,4,2,1.28,7.0,1.01,0.0219,0.5714,0.1684,0.1111
Eric_Dier,259.0,143.0,4,3,1.81,10.0,1.02,0.0154,0.4,0.2382,0.2222
Eric_Garcia,11.0,23.0,4,2,0.48,1.0,1.0,0.3636,4.0,0.0632,1.0E-4
Erik_Lamela,200.0,143.0,5,3,1.4,12.0,1.02,0.025,0.4167,0.1842,0.2222
Erik_Pieters,216.0,105.0,4,2,2.06,0.0,1.0,0.0185,0.0,0.2711,0.0
Ethan_Ampadu,1.0,97.0,4,3,0.01,0.0,1.0,4.0,0.0,0.0014,0.0
Etienne_Capoue,320.0,143.0,4,3,2.24,18.0,1.03,0.0125,0.2222,0.2947,0.3333
Ezequiel_Schelotto,27.0,96.0,4,2,0.28,3.0,1.01,0.1481,1.3333,0.0368,0.1111
Ezri_Konsa Ngoyo,30.0,28.0,4,2,1.07,9.0,1.02,0.1333,0.4444,0.1408,0.2222
Fabian_Delph,121.0,143.0,5,2,0.85,0.0,1.0,0.0413,0.0,0.1118,0.0
Fabian_Schär,146.0,67.0,5,2,2.18,6.0,1.01,0.0342,0.8333,0.2868,0.1111
Fabio Henrique_Tavares,110.0,67.0,5,3,1.64,11.0,1.02,0.0455,0.4545,0.2158,0.2222
Fabián_Balbuena,97.0,67.0,4,2,1.45,0.0,1.0,0.0412,0.0,0.1908,0.0
Faustino_Anjorin,1.0,1.0,4,3,1.0,1.0,1.0,4.0,4.0,0.1317,1.0E-4
Federico_Fernández,280.0,143.0,4,2,1.96,28.0,1.05,0.0143,0.1429,0.2579,0.5556
Felipe Anderson_Pereira Gomes,216.0,67.0,6,3,3.22,4.0,1.01,0.0278,1.5,0.4237,0.1111
Fernando_Luiz Rosa,321.0,142.0,5,3,2.26,8.0,1.01,0.0156,0.625,0.2974,0.1111
Fikayo_Tomori,48.0,67.0,4,2,0.72,1.0,1.0,0.0833,4.0,0.0947,1.0E-4
